Titulo,Autor,Fecha de Publicacion,ISBN,Editorial
Cien Anios de Soledad,Gabriel Garcia Marquez,17/09/1967,9780060883287,Editorial Sudamericana
Don Quijote de la Mancha,Miguel de Cervantes,15/01/1605,9788467033717,Espasa
La Sombra del Viento,Carlos Ruiz Zafon,12/05/2001,9788408043660,Planeta
Rayuela,Julio Cortazar,30/06/1963,9789500394482,Editorial Sudamericana
El Alquimista,Paulo Coelho,21/11/1988,9788408080382,Planeta
La Ciudad de la Furia,Ariana Harwicz,05/03/2009,9789873678851,Tusquets
Ficciones,Jorge Luis Borges,18/08/1944,9788499890944,Emece
La Casa de los Espiritus,Isabel Allende,07/12/1982,9788401242304,Plaza & Janes
Cronica de una Muerte Anunciada,Gabriel Garcia Marquez,23/04/1981,9788417425951,Diana
El Tunel,Ernesto Sabato,16/10/1948,9789500425650,Seix Barral
Sobre Heroes y Tumbas,Ernesto Sabato,29/07/1961,9789500425667,Seix Barral
La Parte del Lobo,Rodrigo Fresan,11/02/2005,9789876140409,Mondadori
El Hijo del Acordeonista,Bernardo Atxaga,25/11/2003,9788483462003,Muchnik Editores
La Noche de los Conejos,Luis Sepulveda,19/06/1994,9788433906939,Tusquets
Despues del Amor,Laura Esquivel,08/09/1994,9789685957151,Plaza & Janes
El Amor En Tiempos De Colera,Gabriel  Garcia Marquez,12/04/20985,9788439735427,Casa Del Libro
