n,n_e,e_n,e_log_n
2.718280,15.154235,15.154235,2.718280
6.072822,134.733724,433.903461,4.903300
9.427364,445.315076,12423.736280,6.098782
12.781906,1018.682353,355722.498367,6.926265
16.136448,1919.386356,10185220.693202,7.559761
19.490990,3207.244502,291628224.375971,8.073167
22.845532,4938.611212,8350042067.271741,8.504839
26.200074,7167.141579,239082491670.353088,8.877262
29.554617,9944.297502,6845526928223.109375,9.204755
32.909159,13319.705671,196004477775143.062500,9.497000
36.263701,17341.422922,5612096148437605.000000,9.760853
39.618243,22056.140002,160688283945430336.000000,10.001346
42.972785,27509.342482,4600905600043196416.000000,10.222281
46.327327,33745.440687,131735381203631800320.000000,10.426601
49.681869,40807.876590,3771911916798130782208.000000,10.616630
53.036411,48739.213114,107999228286983676624896.000000,10.794239
56.390953,57581.209746,3092286768055026689507328.000000,10.960952
59.745495,67374.887281,88539868363491506269454336.000000,11.118028
63.100037,78160.583818,2535116849707698407411286016.000000,11.266521
66.454579,89978.003622,72586706536395422957794492416.000000,11.407321
69.809121,102866.260073,2078338111479276211530838835200.000000,11.541185
73.163663,116863.913701,59507994118198847828539526348800.000000,11.668765
76.518206,132009.006061,1703862015719452055692183009755136.000000,11.790625
79.872748,148339.090084,48785811244873859488969083628552192.000000,11.907256
83.227290,165891.257399,1396859227368530535860569885586227200.000000,12.019088
86.581832,184702.163054,39995557136289930241656827851388747776.000000,12.126500
89.936374,204808.047967,1145172369055197025597623237099007246336.000000,12.229828
93.290916,226244.759401,32789135812727448767191972651859556958208.000000,12.329373
96.645458,249047.769705,938834586301173388296244543363498092003328.000000,12.425400
100.000000,273252.193522,26881171418161212493208843331851015256276992.000000,12.518150
